relative_ms;timestamp_ms;speed_kmh_candidate;battery_percent;voltage_v;current_a;power_w;motor_temp_c;battery_temp_c;trip_km;odometer_km;drive_raw_1505_b7;motor_load_raw_be;battery_state_raw_1509_b6;accessory_raw_b0;accessory_raw_b3;source_channel
1433;1786645579803;;;;;;;;;;;;;;;2A05
1904;1786645580274;;;;;;;;;;;;;;;1502
1956;1786645580326;0.0;;;;;;;;;0;;;;;1505
1993;1786645580363;0.0;;;;;;;;703.7;0;;;;;1506
2048;1786645580418;0.0;;;;;;;;703.7;0;;;0;1;1508
2081;1786645580451;0.0;85;52.1;0.0;;;;;703.7;0;0;;0;1;1509
2091;1786645580461;0.0;85;52.1;0.0;0.0;;;;703.7;0;0;;0;1;2A00
2118;1786645580488;0.0;85;52.1;0.0;0.0;;;;703.7;0;0;;0;1;150A
2138;1786645580508;0.0;85;52.1;0.0;0.0;;;;703.7;0;0;;0;1;150B
2171;1786645580541;0.0;85;52.1;0.0;0.0;;;;703.7;0;0;;0;1;150D
6189;1786645584559;0.0;85;52.1;0.0;0.0;;;;703.7;0;0;;0;1;2A00
6838;1786645585208;0.0;85;52.1;0.0;0.0;;;;703.7;0;0;;0;1;2A01
7491;1786645585861;0.0;85;52.1;0.0;0.0;;;;703.7;0;0;;0;1;2A02
8144;1786645586514;0.0;85;52.1;0.0;0.0;;;;703.7;0;0;;0;1;2A04
8191;1786645586561;0.0;85;52.1;0.0;0.0;;;;703.7;0;0;;0;1;1502
8608;1786645586978;0.0;85;52.1;0.0;0.0;;;;703.7;0;0;;0;1;1505
8807;1786645587177;0.0;85;52.1;0.0;0.0;;;;703.7;0;0;;0;1;2A28
8808;1786645587178;0.0;85;52.1;0.0;0.0;;;;703.7;0;0;;0;1;1506
9225;1786645587595;0.0;85;52.1;0.0;0.0;;;;703.7;0;0;;0;1;1508
9437;1786645587807;0.0;86;52.1;0.0;0.0;;;;703.7;0;0;;0;1;1509
9448;1786645587818;0.0;86;52.1;0.0;0.0;;;;703.7;0;0;;0;1;1501
9655;1786645588025;0.0;86;52.1;0.0;0.0;;;;703.7;0;0;;0;1;150A
9856;1786645588226;0.0;86;52.1;0.0;0.0;;;;703.7;0;0;;0;1;150B
10068;1786645588438;0.0;86;52.1;0.0;0.0;;;;703.7;0;0;;0;1;150D
10101;1786645588471;0.0;86;52.1;0.0;0.0;;;;703.7;0;0;;0;1;1502
10753;1786645589123;0.0;86;52.1;0.0;0.0;;;;703.7;0;0;;0;1;1503
11106;1786645589476;0.0;86;52.1;0.0;0.0;;;;703.7;0;0;;0;1;1502
11409;1786645589779;0.0;86;52.1;0.0;0.0;;;;703.7;0;0;;0;1;1504
11521;1786645589891;0.0;86;52.1;0.0;0.0;;;;703.7;0;0;;0;1;1505
11734;1786645590104;0.0;86;52.1;0.0;0.0;;;;703.7;0;0;;0;1;1506
12073;1786645590443;0.0;86;52.1;0.0;0.0;;;;703.7;0;0;;0;1;1505
12153;1786645590523;0.0;86;52.1;0.0;0.0;;;;703.7;0;0;;0;1;1508
12353;1786645590723;0.0;86;52.1;0.0;0.0;;;;703.7;0;0;;0;1;1509
12566;1786645590936;0.0;86;52.1;0.0;0.0;;;;703.7;0;0;;0;1;150A
12711;1786645591081;0.0;86;52.1;0.0;0.0;;;;703.7;0;0;;0;1;1506
12791;1786645591161;0.0;86;52.1;0.0;0.0;;;;703.7;0;0;;0;1;150B
12983;1786645591353;0.0;86;52.1;0.0;0.0;;;;703.7;0;0;;0;1;150D
13386;1786645591756;0.0;86;52.1;0.0;0.0;;;;703.7;0;0;;0;1;1507
14027;1786645592397;0.0;86;52.1;0.0;0.0;;;;703.7;0;0;;0;1;1508
14028;1786645592398;0.0;86;52.1;0.0;0.0;;;;703.7;0;0;;0;1;1502
14445;1786645592815;0.0;86;52.1;0.0;0.0;;;;703.7;0;0;;0;1;1505
14649;1786645593019;0.0;86;52.1;0.0;0.0;;;;703.7;0;0;;0;1;1506
