relative_ms;timestamp_ms;channel;meaning;length;packet_no;changed_bytes;hex;payload_sha256;public_redaction
2085;1786821168987;2A00;Unbekannter Kanal;24;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23;;76e372406e5a71538c6e4894bba3797f594705e594733a2bb81339ed5e7403a8;identity_or_free_form
2738;1786821169640;2A01;Unbekannter Kanal;2;1;0,1;00-00;;
3389;1786821170291;2A02;Unbekannter Kanal;2;1;0,1;00-00;;
4042;1786821170944;2A04;Unbekannter Kanal;8;1;0,1,2,3,4,5,6,7;14-00-28-00-00-00-E8-03;;
4056;1786821170958;1502;Akkuinformationen;16;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00;;
4474;1786821171376;1505;BikePerformance / Fahrleistung;18;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17;00-00-00-00-FF-FF-00-00-FF-FF-FF-FF-FF-00-00-00-00-00;;
4683;1786821171585;1506;Trip / Kilometer & Betriebszähler;16;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15;00-00-1B-A9-00-02-25-6D-00-00-02-C4-00-00-00-00;;
4706;1786821171608;2A28;Unbekannter Kanal;10;1;0,1,2,3,4,5,6,7,8,9;;065d10ab6f3c497c3209251b654ac005a7f67238063fbfcf96d99fbc93d910b5;identity_or_free_form
5102;1786821172004;1508;Settings / Licht & Fahrstufe;17;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16;00-00-00-02-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00;;
5316;1786821172218;1509;BatteryChange / Akku-Livestand;11;1;0,1,2,3,4,5,6,7,8,9,10;00-00-FF-FF-4B-C5-A8-00-00-00-00;;
5347;1786821172249;1501;Fahrzeuginformationen;18;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17;01-02-FF-FF-FF-FF-00-FF-FF-0A-00-00-00-03-00-00-00-00;;
5518;1786821172420;150A;MotorUpdate / Motor-Livestand;10;1;0,1,2,3,4,5,6,7,8,9;00-00-FF-FF-FF-FF-FF-FF-FF-FF;;
5731;1786821172633;150B;Motor-/Controllerblock;20;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF;;
