relative_ms;timestamp_ms;channel;meaning;length;packet_no;changed_bytes;hex
4041;1786831770770;1502;Akkuinformationen;16;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00
4451;1786831771180;1505;BikePerformance / Fahrleistung;18;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17;00-00-00-00-FF-FF-00-00-FF-FF-FF-FF-FF-00-00-00-00-00
4654;1786831771383;1506;Trip / Kilometer & Betriebszähler;16;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15;00-00-1B-A9-00-02-25-6C-00-00-02-C4-00-00-00-00
5068;1786831771797;1508;Settings / Licht & Fahrstufe;17;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16;01-00-00-02-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00
5287;1786831772016;1509;BatteryChange / Akku-Livestand;11;1;0,1,2,3,4,5,6,7,8,9,10;00-00-FF-FF-4B-C6-0C-00-00-00-00
5486;1786831772215;150A;MotorUpdate / Motor-Livestand;10;1;0,1,2,3,4,5,6,7,8,9;00-00-FF-FF-FF-FF-FF-FF-FF-FF
5702;1786831772431;150B;Motor-/Controllerblock;20;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF
5904;1786831772633;150D;Fahrstatistik Max/Ø;20;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19;00-14-00-00-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00
6953;1786831773682;1502;Akkuinformationen;16;2;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00
7362;1786831774091;1505;BikePerformance / Fahrleistung;18;2;–;00-00-00-00-FF-FF-00-00-FF-FF-FF-FF-FF-00-00-00-00-00
7578;1786831774307;1506;Trip / Kilometer & Betriebszähler;16;2;–;00-00-1B-A9-00-02-25-6C-00-00-02-C4-00-00-00-00
7992;1786831774721;1508;Settings / Licht & Fahrstufe;17;2;–;01-00-00-02-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00
8197;1786831774926;1509;BatteryChange / Akku-Livestand;11;2;–;00-00-FF-FF-4B-C6-0C-00-00-00-00
8409;1786831775138;150A;MotorUpdate / Motor-Livestand;10;2;–;00-00-FF-FF-FF-FF-FF-FF-FF-FF
8622;1786831775351;150B;Motor-/Controllerblock;20;2;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF
8830;1786831775559;150D;Fahrstatistik Max/Ø;20;2;–;00-14-00-00-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00
9876;1786831776605;1502;Akkuinformationen;16;3;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00
10292;1786831777021;1505;BikePerformance / Fahrleistung;18;3;–;00-00-00-00-FF-FF-00-00-FF-FF-FF-FF-FF-00-00-00-00-00
10494;1786831777223;1506;Trip / Kilometer & Betriebszähler;16;3;–;00-00-1B-A9-00-02-25-6C-00-00-02-C4-00-00-00-00
10912;1786831777641;1508;Settings / Licht & Fahrstufe;17;3;–;01-00-00-02-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00
11201;1786831777930;1509;BatteryChange / Akku-Livestand;11;3;–;00-00-FF-FF-4B-C6-0C-00-00-00-00
11325;1786831778054;150A;MotorUpdate / Motor-Livestand;10;3;–;00-00-FF-FF-FF-FF-FF-FF-FF-FF
11540;1786831778269;150B;Motor-/Controllerblock;20;3;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF
11817;1786831778546;150D;Fahrstatistik Max/Ø;20;3;–;00-14-00-00-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00
12840;1786831779569;1502;Akkuinformationen;16;4;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00
13203;1786831779932;1505;BikePerformance / Fahrleistung;18;4;7;00-00-00-00-FF-FF-00-01-FF-FF-FF-FF-FF-00-00-00-00-00
13422;1786831780151;1506;Trip / Kilometer & Betriebszähler;16;4;–;00-00-1B-A9-00-02-25-6C-00-00-02-C4-00-00-00-00
13836;1786831780565;1508;Settings / Licht & Fahrstufe;17;4;–;01-00-00-02-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00
14039;1786831780768;1509;BatteryChange / Akku-Livestand;11;4;–;00-00-FF-FF-4B-C6-0C-00-00-00-00
14253;1786831780982;150A;MotorUpdate / Motor-Livestand;10;4;–;00-00-FF-FF-FF-FF-FF-FF-FF-FF
14456;1786831781185;150B;Motor-/Controllerblock;20;4;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF
14781;1786831781510;150D;Fahrstatistik Max/Ø;20;4;–;00-14-00-00-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00
15708;1786831782437;1502;Akkuinformationen;16;5;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00
16124;1786831782853;1505;BikePerformance / Fahrleistung;18;5;7;00-00-00-00-FF-FF-00-00-FF-FF-FF-FF-FF-00-00-00-00-00
16347;1786831783076;1506;Trip / Kilometer & Betriebszähler;16;5;–;00-00-1B-A9-00-02-25-6C-00-00-02-C4-00-00-00-00
16750;1786831783479;1508;Settings / Licht & Fahrstufe;17;5;–;01-00-00-02-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00
16964;1786831783693;1509;BatteryChange / Akku-Livestand;11;5;–;00-00-FF-FF-4B-C6-0C-00-00-00-00
17169;1786831783898;150A;MotorUpdate / Motor-Livestand;10;5;–;00-00-FF-FF-FF-FF-FF-FF-FF-FF
17383;1786831784112;150B;Motor-/Controllerblock;20;5;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF
17588;1786831784317;150D;Fahrstatistik Max/Ø;20;5;–;00-14-00-00-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00
18750;1786831785479;1502;Akkuinformationen;16;6;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00
19304;1786831786033;1505;BikePerformance / Fahrleistung;18;6;–;00-00-00-00-FF-FF-00-00-FF-FF-FF-FF-FF-00-00-00-00-00
