relative_ms;timestamp_ms;speed_kmh_candidate;battery_percent;voltage_v;current_a;power_w;electrical_power_w;power_provenance;motor_temp_c;battery_temp_c;trip_km;odometer_km;drive_raw_1505_b7;motor_load_raw_be;battery_state_raw_1509_b6;accessory_raw_b0;accessory_raw_b3;source_channel
2184;1786991057469;;;;;;;;;;;;;;;;;1502
2253;1786991057538;0.0;;;;;;;;;;;0;;;;;1505
2273;1786991057558;0.0;;;;;;;;;;710.7;0;;;;;1506
2342;1786991057627;0.0;;;;;;;;;;710.7;0;;;0;1;1508
2362;1786991057647;0.0;69;49.8;0.0;0.0;0.0;1509_direct;;;;710.7;0;0;;0;1;1509
2396;1786991057681;0.0;69;49.8;0.0;0.0;0.0;1509_direct_carried;;;;710.7;0;0;;0;1;150A
2430;1786991057715;0.0;69;49.8;0.0;0.0;0.0;1509_direct_carried;;;;710.7;0;0;;0;1;150B
2453;1786991057738;0.0;69;49.8;0.0;0.0;0.0;1509_direct_carried;;;;710.7;0;0;;0;1;150D
8622;1786991063907;;;;;;;;;;;;;;;;;1502
9036;1786991064321;0.0;;;;;;;;;;;0;;;;;1505
9248;1786991064533;0.0;;;;;;;;;;710.7;0;;;;;1506
9665;1786991064950;0.0;;;;;;;;;;710.7;0;;;0;1;1508
9867;1786991065152;0.0;70;49.8;0.0;0.0;0.0;1509_direct;;;;710.7;0;0;;0;1;1509
10083;1786991065368;0.0;70;49.8;0.0;0.0;0.0;1509_direct_carried;;;;710.7;0;0;;0;1;150A
10296;1786991065581;0.0;70;49.8;0.0;0.0;0.0;1509_direct_carried;;;;710.7;0;0;;0;1;150B
10498;1786991065783;0.0;70;49.8;0.0;0.0;0.0;1509_direct_carried;;;;710.7;0;0;;0;1;150D
11544;1786991066829;0.0;70;49.8;0.0;0.0;0.0;1509_direct_carried;;;;710.7;0;0;;0;1;1502
11963;1786991067248;0.0;70;49.8;0.0;0.0;0.0;1509_direct_carried;;;;710.7;0;0;;0;1;1505
