relative_ms;timestamp_ms;speed_kmh_candidate;battery_percent;voltage_v;current_a;power_w;electrical_power_w;power_provenance;motor_temp_c;battery_temp_c;trip_km;odometer_km;drive_raw_1505_b7;motor_load_raw_be;battery_state_raw_1509_b6;accessory_raw_b0;accessory_raw_b3;source_channel
4933;1787410262163;;;;;;;;;;;;;;;;;1502
5564;1787410262794;0.0;;;;;;;;;;;0;;;;;1505
5774;1787410263004;0.0;;;;;;;;;;720.3;0;;;;;1506
6184;1787410263414;0.0;;;;;;;;;;720.3;0;;;1;2;1508
6393;1787410263623;0.0;37;46.6;0.0;0.0;0.0;1509_direct;;;;720.3;0;0;;1;2;1509
6606;1787410263836;0.0;37;46.6;0.0;0.0;0.0;1509_direct_carried;;;;720.3;0;0;;1;2;150A
6816;1787410264046;0.0;37;46.6;0.0;0.0;0.0;1509_direct_carried;;;;720.3;0;0;;1;2;150B
7023;1787410264253;0.0;37;46.6;0.0;0.0;0.0;1509_direct_carried;;;;720.3;0;0;;1;2;150D
8064;1787410265294;0.0;37;46.6;0.0;0.0;0.0;1509_direct_carried;;;;720.3;0;0;;1;2;1502
8487;1787410265717;0.0;37;46.6;0.0;0.0;0.0;1509_direct_carried;;;;720.3;0;0;;1;2;1505
8693;1787410265923;0.0;37;46.6;0.0;0.0;0.0;1509_direct_carried;;;;720.3;0;0;;1;2;1506
9113;1787410266343;0.0;37;46.6;0.0;0.0;0.0;1509_direct_carried;;;;720.3;0;0;;1;2;1508
9313;1787410266543;0.0;37;46.6;0.0;0.0;0.0;1509_direct;;;;720.3;0;0;;1;2;1509
9525;1787410266755;0.0;37;46.6;0.0;0.0;0.0;1509_direct_carried;;;;720.3;0;0;;1;2;150A
9735;1787410266965;0.0;37;46.6;0.0;0.0;0.0;1509_direct_carried;;;;720.3;0;0;;1;2;150B
9948;1787410267178;0.0;37;46.6;0.0;0.0;0.0;1509_direct_carried;;;;720.3;0;0;;1;2;150D
10992;1787410268222;0.0;37;46.6;0.0;0.0;0.0;1509_direct_carried;;;;720.3;0;0;;1;2;1502
11406;1787410268636;0.0;37;46.6;0.0;0.0;0.0;1509_direct_carried;;;;720.3;0;0;;1;2;1505
11612;1787410268842;0.0;37;46.6;0.0;0.0;0.0;1509_direct_carried;;;;720.3;0;0;;1;2;1506
12034;1787410269264;0.0;37;46.6;0.0;0.0;0.0;1509_direct_carried;;;;720.3;0;0;;1;2;1508
12236;1787410269466;0.0;37;46.6;0.0;0.0;0.0;1509_direct;;;;720.3;0;0;;1;2;1509
