relative_ms;timestamp_ms;speed_kmh_candidate;battery_percent_raw;battery_percent_stable;battery_stability;voltage_v;current_a;power_w;electrical_power_w;power_provenance;motor_temp_c;battery_temp_c;trip_km;odometer_km;speed_raw_1505_u16be_b6_b7;motor_load_raw_be;light_state_1508_b0;ride_mode_1508_b3;start_mode_1508_b11;source_channel
4883;1787750171986;;;;RESET;;;;;;;;;;;;;;;1502
5303;1787750172406;0.0;;;RESET;;;;;;;;;;0;;;;;1505
5722;1787750172825;0.0;;;RESET;;;;;;;;;727.6;0;;;;;1506
6141;1787750173244;0.0;;;RESET;;;;;;;;;727.6;0;;0;1;0;1508
6364;1787750173467;0.0;97;;WAITING_FOR_REST;52.8;0.0;0.0;0.0;1509_direct;;;;727.6;0;0;0;1;0;1509
6552;1787750173655;0.0;97;;WAITING_FOR_REST;52.8;0.0;0.0;0.0;1509_direct_carried;;;;727.6;0;0;0;1;0;150A
6783;1787750173886;0.0;97;;WAITING_FOR_REST;52.8;0.0;0.0;0.0;1509_direct_carried;;;;727.6;0;0;0;1;0;150B
6973;1787750174076;0.0;97;;WAITING_FOR_REST;52.8;0.0;0.0;0.0;1509_direct_carried;;;;727.6;0;0;0;1;0;150D
8022;1787750175125;0.0;97;;WAITING_FOR_REST;52.8;0.0;0.0;0.0;1509_direct_carried;;;;727.6;0;0;0;1;0;1502
8432;1787750175535;0.0;97;;WAITING_FOR_REST;52.8;0.0;0.0;0.0;1509_direct_carried;;;;727.6;0;0;0;1;0;1505
8644;1787750175747;0.0;97;;WAITING_FOR_REST;52.8;0.0;0.0;0.0;1509_direct_carried;;;;727.6;0;0;0;1;0;1506
9067;1787750176170;0.0;97;;WAITING_FOR_REST;52.8;0.0;0.0;0.0;1509_direct_carried;;;;727.6;0;0;0;1;0;1508
9275;1787750176378;0.0;97;;WAITING_FOR_REST;52.8;0.0;0.0;0.0;1509_direct;;;;727.6;0;0;0;1;0;1509
9483;1787750176586;0.0;97;;WAITING_FOR_REST;52.8;0.0;0.0;0.0;1509_direct_carried;;;;727.6;0;0;0;1;0;150A
9692;1787750176795;0.0;97;;WAITING_FOR_REST;52.8;0.0;0.0;0.0;1509_direct_carried;;;;727.6;0;0;0;1;0;150B
