relative_ms;timestamp_ms;marker
0;1787847589988;START
3266;1787847593254;BLE getrennt • RAW 0 gesichert
3668;1787847593656;BLE-Link wieder verbunden • Messfahrtdaten erhalten
9239;1787847599227;Telemetrie wieder aktiv
816965;1787848406953;AUTO_BESTÄTIGT • Licht AUS → AN • 1508/0
819892;1787848409880;AUTO_BESTÄTIGT • Licht AN → AUS • 1508/0
1062620;1787848652608;AUTO_BESTÄTIGT • Fahrmodus ECO → SPORT • 1508/3
1068468;1787848658456;AUTO_BESTÄTIGT • Fahrmodus SPORT → ECO • 1508/3
1091863;1787848681851;AUTO_BESTÄTIGT • Fahrmodus ECO → SPORT • 1508/3
1413480;1787849003468;AUTO_BESTÄTIGT • Fahrmodus SPORT → ECO • 1508/3
1486074;1787849076062;STOP
