relative_ms;timestamp_ms;speed_kmh_candidate;battery_percent_raw;battery_percent_stable;battery_stability;voltage_v;current_a;power_w;electrical_power_w;power_provenance;motor_temp_c;battery_temp_c;trip_km;odometer_km;speed_raw_1505_u16be_b6_b7;motor_load_raw_be;light_state_1508_b0;ride_mode_1508_b3;start_mode_1508_b11;source_channel
16042;1788007737022;;;;RESET;;;;;;;;;;;;;;;1502
16452;1788007737432;0.0;;;RESET;;;;;;;;;;0;;;;;1505
16663;1788007737643;0.0;;;RESET;;;;;;;;0.0;736.5;0;;;;;1506
17082;1788007738062;0.0;;;RESET;;;;;;;;0.0;736.5;0;;0;2;0;1508
17293;1788007738273;0.0;64;;WAITING_FOR_REST;49.6;0.0;0.0;0.0;1509_direct;;;0.0;736.5;0;0;0;2;0;1509
17502;1788007738482;0.0;64;;WAITING_FOR_REST;49.6;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.5;0;0;0;2;0;150A
17713;1788007738693;0.0;64;;WAITING_FOR_REST;49.6;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.5;0;0;0;2;0;150B
17912;1788007738892;0.0;64;;WAITING_FOR_REST;49.6;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.5;0;0;0;2;0;150D
18962;1788007739942;0.0;64;;WAITING_FOR_REST;49.6;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.5;0;0;0;2;0;1502
19373;1788007740353;0.0;64;;WAITING_FOR_REST;49.6;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.5;0;0;0;2;0;1505
19582;1788007740562;0.0;64;;WAITING_FOR_REST;49.6;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.5;0;0;0;2;0;1506
20002;1788007740982;0.0;64;;WAITING_FOR_REST;49.6;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.5;0;0;0;2;0;1508
20212;1788007741192;0.0;64;;WAITING_FOR_REST;49.6;0.0;0.0;0.0;1509_direct;;;0.0;736.5;0;0;0;2;0;1509
20423;1788007741403;0.0;64;;WAITING_FOR_REST;49.6;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.5;0;0;0;2;0;150A
20635;1788007741615;0.0;64;;WAITING_FOR_REST;49.6;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.5;0;0;0;2;0;150B
20832;1788007741812;0.0;64;;WAITING_FOR_REST;49.6;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.5;0;0;0;2;0;150D
21883;1788007742863;0.0;64;;WAITING_FOR_REST;49.6;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.5;0;0;0;2;0;1502
22294;1788007743274;0.0;64;;WAITING_FOR_REST;49.6;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.5;0;0;0;2;0;1505
22503;1788007743483;0.0;64;;WAITING_FOR_REST;49.6;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.5;0;0;0;2;0;1506
22922;1788007743902;0.0;64;;WAITING_FOR_REST;49.6;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.5;0;0;0;2;0;1508
23132;1788007744112;0.0;64;64;STABLE;49.6;0.0;0.0;0.0;1509_direct;;;0.0;736.5;0;0;0;2;0;1509
23343;1788007744323;0.0;64;64;STABLE;49.6;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.5;0;0;0;2;0;150A
23553;1788007744533;0.0;64;64;STABLE;49.6;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.5;0;0;0;2;0;150B
23763;1788007744743;0.0;64;64;STABLE;49.6;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.5;0;0;0;2;0;150D
24803;1788007745783;0.0;64;64;STABLE;49.6;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.5;0;0;0;2;0;1502
25223;1788007746203;0.0;64;64;STABLE;49.6;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.5;0;0;0;2;0;1505
25422;1788007746402;0.0;64;64;STABLE;49.6;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.5;0;0;0;2;0;1506
25842;1788007746822;0.0;64;64;STABLE;49.6;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.5;0;0;0;2;0;1508
26052;1788007747032;0.0;64;64;WAITING_FOR_REST;49.6;0.0;0.0;0.0;1509_direct;;;0.0;736.5;0;0;0;2;0;1509
26262;1788007747242;0.0;64;64;WAITING_FOR_REST;49.6;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.5;0;0;0;2;0;150A
26473;1788007747453;0.0;64;64;WAITING_FOR_REST;49.6;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.5;0;0;0;2;0;150B
26682;1788007747662;0.0;64;64;WAITING_FOR_REST;49.6;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.5;0;0;0;2;0;150D
27723;1788007748703;0.0;64;64;WAITING_FOR_REST;49.6;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.5;0;0;0;2;0;1502
28143;1788007749123;0.0;64;64;WAITING_FOR_REST;49.6;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.5;0;0;0;2;0;1505
28344;1788007749324;0.0;64;64;WAITING_FOR_REST;49.6;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.5;0;0;0;2;0;1506
28763;1788007749743;0.0;64;64;WAITING_FOR_REST;49.6;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.5;0;0;0;2;0;1508
28972;1788007749952;0.0;64;64;WAITING_FOR_REST;49.6;0.0;0.0;0.0;1509_direct;;;0.0;736.5;0;0;0;2;0;1509
29182;1788007750162;0.0;64;64;WAITING_FOR_REST;49.6;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.5;0;0;0;2;0;150A
29392;1788007750372;0.0;64;64;WAITING_FOR_REST;49.6;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.5;0;0;0;2;0;150B
29602;1788007750582;0.0;64;64;WAITING_FOR_REST;49.6;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.5;0;0;0;2;0;150D
30641;1788007751621;0.0;64;64;WAITING_FOR_REST;49.6;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.5;0;0;0;2;0;1502
31272;1788007752252;0.0;64;64;WAITING_FOR_REST;49.6;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.5;0;0;0;2;0;1505
31472;1788007752452;0.0;64;64;WAITING_FOR_REST;49.6;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.5;0;0;0;2;0;1506
31892;1788007752872;0.0;64;64;WAITING_FOR_REST;49.6;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.5;0;0;0;2;0;1508
32103;1788007753083;0.0;64;64;STABLE;49.6;0.0;0.0;0.0;1509_direct;;;0.0;736.5;0;0;0;2;0;1509
32313;1788007753293;0.0;64;64;STABLE;49.6;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.5;0;0;0;2;0;150A
32522;1788007753502;0.0;64;64;STABLE;49.6;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.5;0;0;0;2;0;150B
32732;1788007753712;0.0;64;64;STABLE;49.6;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.5;0;0;0;2;0;150D
33773;1788007754753;0.0;64;64;STABLE;49.6;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.5;0;0;0;2;0;1502
34192;1788007755172;0.0;64;64;STABLE;49.6;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.5;0;0;0;2;0;1505
34393;1788007755373;0.0;64;64;STABLE;49.6;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.5;0;0;0;2;0;1506
34813;1788007755793;0.0;64;64;STABLE;49.6;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.5;0;0;0;2;0;1508
35022;1788007756002;0.0;64;64;WAITING_FOR_REST;49.6;0.0;0.0;0.0;1509_direct;;;0.0;736.5;0;0;0;2;0;1509
35233;1788007756213;0.0;64;64;WAITING_FOR_REST;49.6;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.5;0;0;0;2;0;150A
35442;1788007756422;0.0;64;64;WAITING_FOR_REST;49.6;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.5;0;0;0;2;0;150B
35652;1788007756632;0.0;64;64;WAITING_FOR_REST;49.6;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.5;0;0;0;2;0;150D
36693;1788007757673;0.0;64;64;WAITING_FOR_REST;49.6;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.5;0;0;0;2;0;1502
37112;1788007758092;0.0;64;64;WAITING_FOR_REST;49.6;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.5;0;0;0;2;0;1505
37321;1788007758301;0.0;64;64;WAITING_FOR_REST;49.6;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.5;0;0;0;2;0;1506
37731;1788007758711;0.0;64;64;WAITING_FOR_REST;49.6;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.5;0;0;0;2;0;1508
37942;1788007758922;0.0;64;64;WAITING_FOR_REST;49.6;0.0;0.0;0.0;1509_direct;;;0.0;736.5;0;0;0;2;0;1509
38156;1788007759136;0.0;64;64;WAITING_FOR_REST;49.6;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.5;0;0;0;2;0;150A
38362;1788007759342;0.0;64;64;WAITING_FOR_REST;49.6;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.5;0;0;0;2;0;150B
38572;1788007759552;0.0;64;64;WAITING_FOR_REST;49.6;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.5;0;0;0;2;0;150D
39613;1788007760593;0.0;64;64;WAITING_FOR_REST;49.6;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.5;0;0;0;2;0;1502
40033;1788007761013;0.0;64;64;WAITING_FOR_REST;49.6;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.5;0;0;0;2;0;1505
40243;1788007761223;0.0;64;64;WAITING_FOR_REST;49.6;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.5;0;0;0;2;0;1506
40653;1788007761633;0.0;64;64;WAITING_FOR_REST;49.6;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.5;0;0;0;2;0;1508
40862;1788007761842;0.0;64;64;STABLE;49.6;0.0;0.0;0.0;1509_direct;;;0.0;736.5;0;0;0;2;0;1509
41073;1788007762053;0.0;64;64;STABLE;49.6;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.5;0;0;0;2;0;150A
41283;1788007762263;0.0;64;64;STABLE;49.6;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.5;0;0;0;2;0;150B
41493;1788007762473;0.0;64;64;STABLE;49.6;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.5;0;0;0;2;0;150D
42534;1788007763514;0.0;64;64;STABLE;49.6;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.5;0;0;0;2;0;1502
42954;1788007763934;0.0;64;64;STABLE;49.6;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.5;0;0;0;2;0;1505
43164;1788007764144;0.0;64;64;STABLE;49.6;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.5;0;0;0;2;0;1506
43576;1788007764556;0.0;64;64;STABLE;49.6;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.5;0;0;0;2;0;1508
43783;1788007764763;0.0;64;64;WAITING_FOR_REST;49.6;0.0;0.0;0.0;1509_direct;;;0.0;736.5;0;0;0;2;0;1509
43994;1788007764974;0.0;64;64;WAITING_FOR_REST;49.6;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.5;0;0;0;2;0;150A
